0-10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-100
High,High,High,Good,Good,Good,Fair,Fair,Low,Low
High,High,High,High,Good,Good,Good,Fair,Fair,Low
High,High,High,High,High,Good,Good,Good,Fair,Fair
Good,High,High,High,High,High,Good,Good,Good,Fair
Good,Good,High,High,High,High,High,Good,Good,Good
Good,Good,Good,High,High,High,High,High,Good,Good
Fair,Good,Good,Good,High,High,High,High,High,Good
Fair,Fair,Good,Good,Good,High,High,High,High,High
Low,Fair,Fair,Good,Good,Good,High,High,High,High
Low,Low,Fair,Fair,Good,Good,Good,High,High,High
